apiary_id,lat,lon,type,region,state
API001,44.6476,-123.1186,s,OR-MWV,OR
API002,42.3779,-71.1161,s,MA,MA
API004,44.48783,-122.88072,m,OR-MWV,OR
API005,45.16431,-122.45376,m,OR-P,OR
API006,45.19979,-122.50894,m,OR-P,OR
API007,39.79929,-122.14147,c,CA-N,CA
API008,39.77619,-122.15926,c,CA-N,CA
API009,39.55246,-122.23259,c,CA-N,CA
API010,39.52322,-122.22981,c,CA-N,CA
API011,37.35047,-122.16418,m,CA-B,CA
API012,37.36687,-122.13496,s,CA-B,CA
API013,37.33347,-122.17572,s,CA-B,CA
API014,44.33222,-123.38538,m,OR-MWV,OR
API015,44.5594,-123.28892,s,OR-MWV,OR
API016,44.1424,-123.92453,s,OR-C,OR
API017,44.0564,-124.0744,s,OR-C,OR
API018,44.4146,-124.03714,s,OR-C,OR
API019,45.57613,-123.16606,s,OR-P,OR
API020,45.54607,-123.15998,s,OR-P,OR
API021,45.45629,-122.75536,s,OR-P,OR
API022,47.50428,-122.46533,s,WA-PS,WA
API023,47.47,-122.46284,s,WA-PS,WA
API024,47.51877,-122.38726,m,WA-PS,WA
API025,46.91027,-113.95805,s,MT-W,MT
API026,46.90362,-113.96121,s,MT-W,MT
API027,47.29002,-114.03374,m,MT-W,MT
API028,47.31203,-114.07019,m,MT-W,MT
API029,47.15633,-114.0405,m,MT-W,MT